id,approval,group,device,age,sex,listening_hours,activity_hours,participating_in_a_group,participating_in_a_group_years,instruments,education,education_details,start_playing_age,education_years,years_since_last_formal,notes,familiarity1,familiarity2,familiarity3,familiarity4,familiarity5,familiarity6,familiarity7,familiarity8,familiarity9,familiarity10,familiarity11,familiarity12,familiarity13,familiarity14,familiarity15,familiarity16,familiarity21,familiarity22,familiarity24,familiarity25,familiarity26,familiarity27,familiarity28,familiarity29,familiarity30,familiarity31,familiarity32,familiarity33,familiarity34,familiarity35,familiarity36,usability1,usability2,usability3,usability4,usability5,usability6,usability7,usability8,usability9,usability10,block11,block12,block21,block22,block31,block32,block41,block42,block51,block52,block61,block62,block71,block72,block81,block82
4,,1,mag,17,2,24,8,3,4,drums:4;singing:7,1,1;2,10,2,1,"אהבתי מוסיקה מגיל צעיר ויש לי שמיעה אבסולוטית, למדתי פיתוח קול ותופים.",2,4,4,,3,5,3,3,3,5,4,3,1,3,3,3,,,,,,,,,,,,,,,,1,5,1,3,1,5,3,5,1,3,3,3,2,4,1,5,4,2,,,,,,,,
6,1,1,mag,17,1,30,0.5,2,20,trumpet:1;baritone:2,1,2,10,3,3,,3,3,3,2,,,5,5,5,5,3,3,3,4,4,3,,,,,,,,,,,,,,,,1,1,1,5,4,3,2,3,2,2,3,3,2,4,2,3,3,3,,,,,,,,
7,1,1,mag,16.5,1,3.5,0,1,,piano:1;guitar:1,3,,,,,,3,4,4,2,5,4,,5,2,4,2,3,2,4,3,2,,,,,,,,,,,,,,,,2,4,2,3,4,3,1,3,1,5,3,3,3,3,3,3,3,3,,,,,,,,
8,,1,mag,17.5,1,20,6,4,,berimbau:3;atabaque:10;pandeiro:10;agogo:10;guitar:0.5,2,1,7.5,,,,4,2,2,2,5,3,5,5,2,3,3,5,3,2,3,2,,,,,,,,,,,,,,,,3,3,5,1,3,1,5,1,5,1,1,1,3,3,3,3,4,4,,,,,,,,
9,1,1,mag,17,2,10,0,2,1,chello:5,1,1,9,5,,אני כבר לא מנגנת כמעט.,2,,3,3,4,4,3,3,,4,5,4,3,3,,5,,,,,,,,,,,,,,,,1,1,3,1,,5,4,3,,1,5,2,4,3,1,1,3,3,,,,,,,,
10,1,1,galaxy_pocket,17,1,5,0,1,,,3,,,,,,1,2,2,2,4,5,3,3,3,5,4,4,2,2,,2,,,,,,,,,,,,,,,,1,4,2,1,2,5,5,2,1,3,4,1,4,1,3,1,3,1,,,,,,,,
11,1,1,mag,17,2,15,5,2;3;4,4,guitar:5;singing:5,1,1;2;3,12,3,0.5,,3,3,3,3,4,3,3,3,5,4,,5,2,3,,5,,,,,,,,,,,,,,,,1,2,1,4,2,3,2,5,2,4,4,1,3,2,4,2,3,2,,,,,,,,
13,1,1,mag,17.5,2,6.5,7,2,2,drums:2;guitar:1,3,1,10,2.5,0,,2,2,2,5,4,2,3,4,3,2,2,4,,3,3,3,,,,,,,,,,,,,,,,1,4,2,2,1,5,3,3,2,4,2,2,1,1,2,3,3,2,,,,,,,,
14,1,1,lenovo,17,1,14,1,2,1,guitar:5,1,1,12,3,1.5,,3,5,5,1,1,2,2,1,2,1,3,1,1,,4,1,,,,,,,,,,,,,,,,3,1,5,1,4,1,4,1,5,1,3,1,2,2,2,2,2,3,,,,,,,,
15,1,1,mag,35,1,6,3,1,,saxophone:5;guitar:4,2,,,,,שמיעה מוסיקאלית טובה בסה”כ.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,2,4,3,3,2,5,4,3,5,2,4,2,4,2,2,4,2,2,,,,,,,,
16,,1,mag,17.2,2,25,0,1,,,3,,,,,,,,,2,3,2,4,1,5,2,5,,4,3,4,,,,,,,,,,,,,,,,,3,3,4,5,2,4,4,4,2,3,3,2,2,4,5,1,1,4,,,,,,,,
21,1,2,mag,18,1,2,1,,0.5,piano:1;chello:2,2,1;3,11,3,2,,,,,,,,,,,,,,,,,3,5,1,3,1,1,5,5,2,2,3,3,1,4,4,4,3,1,4,3,4,2,4,1,3,3,,,,,,,,,3,1,1,1,1,1,1,1
22,1,2,mag,17,1,3,0,2,1.5,baritone:4,1,1,11,4,1,,,,,,,,,,,,,,,,,3,3,,4,2,3,2,4,2,3,3,4,4,4,4,4,,2,3,3,3,3,3,1,3,3,,,,,,,,,3,3,3,2,3,2,4,2
24,,2,mag,17.5,2,14,0,3;4,2,saxophone:1;singing:2,3,,,,,,,,,,,,,,,,,,,,,4,4,3,1,5,2,5,3,5,5,2,3,5,3,4,5,2,3,5,5,5,4,5,4,4,5,,,,,,,,,2,3,3,2,1,4,1,5
25,1,2,mag,17,2,7,5,3,2,piano:2.5,1,1,9,1.5,6,,,,,,,,,,,,,,,,,3,2,2,4,,1,4,2,5,4,2,2,1,2,2,2,3,3,3,4,4,2,3,2,3,2,,,,,,,,,3,1,2,2,2,2,3,2
27,1,2,mag,18,2,20,7,2;3,7,clarinet:6;singing:3,1,1;2,10,8,0,,,,,,,,,,,,,,,,,5,5,2,4,1,1,,5,5,5,3,2,2,4,4,2,3,1,4,3,2,1,3,2,4,3,,,,,,,,,4,1,3,2,4,1,5,1
28,1,2,galaxy_pocket,17,1,14,12,2,7,piano:1;saxophone:7;didgeridoo:0.75,1,2,10,11,0,,,,,,,,,,,,,,,,,4,5,3,2,1,4,5,5,1,2,4,3,1,5,3,4,3,3,3,3,2,3,4,2,3,2,,,,,,,,,3,1,3,1,4,1,5,1
29,1,2,galaxy_pocket,17,2,8,0,2,4,recorder:2;clarinet:2;organ:2,1,1;2,8,5.5,5,עד לפני 5 שנים למדתי מוסיקה באופן פורמאלי.,,,,,,,,,,,,,,,,3,2,2,5,5,1,5,2,,5,2,2,2,2,2,3,3,2,4,1,5,2,4,1,5,1,,,,,,,,,2,2,2,2,1,3,1,3
30,1,2,mag,17,2,7,1,4,3,,1,2,8,5,1,,,,,,,,,,,,,,,,,5,3,3,5,4,2,5,2,5,2,3,4,3,2,,4,4,2,4,1,2,1,5,1,4,1,,,,,,,,,3,3,1,4,2,3,1,5
31,1,2,mag,17,1,4,0,1,,,3,,,,,,,,,,,,,,,,,,,,,5,3,3,2,1,2,3,4,2,3,,3,1,4,4,4,2,1,5,5,3,2,5,2,5,2,,,,,,,,,3,1,4,1,3,1,3,1
34,1,2,galaxy_s3,17,1,7,0,1,,piano:1;oboe:1,1,1,7,2,6,,,,,,,,,,,,,,,,,1,3,2,1,1,4,1,5,1,2,3,5,1,5,4,3,2,2,4,3,5,2,5,2,5,2,,,,,,,,,2,1,3,1,4,1,3,3
35,1,2,mag,17,1,35,0,1,,,3,,,,,,,,,,,,,,,,,,,,,4,4,2,3,1,,3,4,2,2,4,,,4,5,3,2,2,4,2,3,1,4,2,5,2,,,,,,,,,3,4,4,3,5,2,4,3
36,,2,mag,16.7,1,3.5,0,2;3,5,organ:9;trombone:2;recorder:9;guitar:4.5;bass:0.5,1,1;2,7,4,5,חוץ מהגיטרה ומהבס כל שאר המוסיקה שלמדתי הייתה במסגרת בית ספר מחייבת.,,,,,,,,,,,,,,,,3,4,5,5,1,2,1,3,2,5,3,3,5,4,4,,4,2,5,4,5,5,5,4,4,1,,,,,,,,,2,1,4,1,2,1,1,1
